what	O
's	O
you	O
name	O
?	O

whats	O
your	O
name	O
?	O

whats	O
your	O
name	O

what	O
is	O
ur	O
name	O

wats	O
ur	O
name	O

<	O
/3	O

these	O
suck	O

thse	O
all	O
suck	O

These	O
all	O
suck	O

but	O
not	O
what	O
I	O
was	O
looking	O
for	O

that	O
sucks	O

I	O
'm	O
not	O
happy	O
with	O
these	O

That	O
's	O
stupid	O

no	O
thanks	O

I	O
hate	O
these	O

wtf	O

these	O
are	O
n't	O
good	O

These	O
suck	O
!	O

none	O
of	O
these	O
are	O
good	O

how	O
's	O
it	O
goin	O
?	O

Hi	O
Anna	O

Hi	O
Anna	O
!	O

Hello	O
Anna	O

sup	O

hey	O
anna	O

Hows	O
it	O
going	O
?	O

hello	O

How	O
are	O
you	O

Hi	O
,	O
Anna	O

HI	O

whats	O
up	O

Hey	O

hey	O
whats	O
up	O

Hi	O

Hello	O

how	O
r	O
u	O

can	O
i	O
show	O
you	O
a	O
picture	O
?	O

menu	O

help	O

Help	O

Help	O
me	O

help	O
me	O

help	O
!	O

I	O
need	O
help	O

I	O
do	O
n't	O
understand	O

how	O
old	O
r	O
u	O
?	O

how	O
old	O
are	O
you	O
?	O

how	O
old	O
are	O
you	O
anna	O
?	O

how	O
old	O
are	O
you	O

how	O
old	O
r	O
u	O

what	O
's	O
your	O
age	O

whats	O
your	O
age	O

asshole	O

bitch	O

cunt	O

Why	O
are	O
you	O
so	O
dumb	O
?	O

faggot	O

Dumb	O
broad	O

fag	O

you	O
suck	O

suck	O
my	O
dick	O

fuck	O
me	O

fuck	O
you	O

screw	O
you	O

i	O
like	O
the	O
first	O
one	O

I	O
'm	O
digging	O
the	O
thrid	O
one	O

I	O
like	O
the	O
first	O

I	O
like	O
number	O
three	O

I	O
like	O
number	O
two	O

Im	O
liking	O
the	O
first	O

I	O
like	O
the	O
1st	O

I	O
like	O
the	O
3rd	O

I	O
'm	O
liking	O
the	O
2nd	O
one	O

3rd	O

1st	O

The	O
second	O
one	O
is	O
the	O
best	O

second	O
one	O

the	O
first	O
one	O

I	O
like	O
the	O
last	O
one	O

the	O
second	O
one	O
is	O
OK	O

the	O
second	O
one	O
is	O
good	O

let	O
's	O
go	O
with	O
the	O
first	O

let	O
's	O
go	O
with	O
the	O
third	O
one	O

digging	O
the	O
first	O
one	O

first	O

second	O

the	O
last	O
one	O

I	O
'm	O
looking	O
for	O
a	O
pink	KEYWORD
dress	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
summer	KEYWORD
dress	KEYWORD

Red	KEYWORD
shorts	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
floral	KEYWORD
dress	KEYWORD

How	O
about	O
red	KEYWORD
dress	KEYWORD

Find	O
dress	KEYWORD

Fine	O
me	O
a	O
colorful	KEYWORD
new	KEYWORD
turban	KEYWORD
for	O
a	O
woman	O

Summer	KEYWORD
wedding	KEYWORD
guest	KEYWORD
dress	KEYWORD

Find	O
me	O
a	O
black	KEYWORD
dress	KEYWORD

Summer	KEYWORD
dress	KEYWORD

Search	O
for	O
blue	KEYWORD
dress	KEYWORD

Search	O
blue	KEYWORD
shirt	KEYWORD

Party	KEYWORD
red	KEYWORD
maxi	KEYWORD
dress	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
summer	KEYWORD
dresd	KEYWORD

Find	O
me	O
a	O
hamburger	KEYWORD

Can	O
you	O
help	O
me	O
find	O
a	O
new	KEYWORD
camisole	KEYWORD

I	O
want	O
a	O
blue	KEYWORD
computer	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
blue	KEYWORD
dress	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
pair	O
of	O
pink	KEYWORD
socks	KEYWORD

Find	O
me	O
a	O
floral	KEYWORD
Vera	KEYWORD
Wang	KEYWORD
dress	KEYWORD

Find	O
knickers	KEYWORD

Looking	O
for	O
a	O
floral	KEYWORD
Vera	KEYWORD
Wang	KEYWORD
dress	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
dress	KEYWORD
for	O
a	O
dance	KEYWORD
party	KEYWORD

Dance	KEYWORD
party	KEYWORD

Hi	O
Anna	O
find	O
me	O
a	O
pink	KEYWORD
hat	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
light	KEYWORD
blue	KEYWORD
top	KEYWORD

search	O
for	O
black	KEYWORD
hats	KEYWORD

serach	O
for	O
brown	KEYWORD
shoes	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
wedding	KEYWORD
dress	KEYWORD

Wedding	KEYWORD
dress	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
backless	KEYWORD
gown	KEYWORD

Hi	O
Anna	O
I	O
'm	O
looking	O
for	O
a	O
skirt	KEYWORD

How	O
about	O
a	O
women	KEYWORD
's	KEYWORD
camisole	KEYWORDO

Looking	O
for	O
trousers	KEYWORD

Looking	O
for	O
a	O
jacket	KEYWORD

What	O
to	O
wear	O

Find	O
me	O
dinner	KEYWORD
dance	KEYWORD
dress	KEYWORD

I	O
want	O
a	O
orange	KEYWORD
mini	KEYWORD
skirt	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
floral	KEYWORD
sundress	KEYWORD

search	O
for	O
a	O
green	KEYWORD
mini	KEYWORD
skirt	KEYWORD

find	O
me	O
a	O
floral	KEYWORD
sundress	KEYWORD

Find	O
me	O
a	O
sleeveless	KEYWORD
top	KEYWORD

Find	O
me	O
a	O
floral	KEYWORD
blouse	KEYWORD

Find	O
me	O
a	O
yellow	KEYWORD
shirt	KEYWORD

Hey	O
I	O
'm	O
looking	O
for	O
a	O
skirt	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
black	KEYWORD
dress	KEYWORD

Find	O
me	O
a	O
backless	KEYWORD
dress	KEYWORD

Search	O
for	O
knit	KEYWORD
mini	KEYWORD
dress	KEYWORD

find	O
me	O
a	O
lacey	KEYWORD
top	KEYWORD

Find	O
me	O
a	O
red	KEYWORD
prom	KEYWORD
dress	KEYWORD

summer	KEYWORD
wedding	KEYWORD
guest	KEYWORD
dress	KEYWORD

summer	KEYWORD
dress	KEYWORD

search	O
blue	KEYWORD
strap	KEYWORD
dress	KEYWORD

serach	O
blue	KEYWORD
dress	KEYWORD

can	O
you	O
find	O
a	O
black	KEYWORD
hat	KEYWORD

maxi	KEYWORD
dress	KEYWORD

blue	KEYWORD
t-shirt	KEYWORD

flower	KEYWORD
sandles	KEYWORD

search	O
for	O
a	O
new	KEYWORD
pair	KEYWORD
of	KEYWORD
socks	KEYWORD

gold-toe	KEYWORD
socks	KEYWORD

swim	KEYWORD
trunks	KEYWORD

aztec	KEYWORD
bikini	KEYWORD
print	KEYWORD

sexy	KEYWORD
thongs	KEYWORD

mens	KEYWORD
t-shirt	KEYWORD

looking	O
for	O
a	O
jacket	KEYWORD

I	O
'm	O
looking	O
for	O
a	O
jacket	KEYWORD
for	O
a	O
party	OCCASION

I	O
need	O
a	O
new	KEYWORD
party	KEYWORD
dress	KEYWORD
for	O
a	O
dance	OCCASION
party	OCCASION

:	O
)	O

thx	O

thank	O
you	O

thank	O
you	O
anna	O

thk	O
u	O

thanks	O
anna	O

thanks	O
!	O

thks	O

I	O
do	O
n't	O
know	O
what	O
to	O
wear	O

help	O
me	O
find	O
something	O
to	O
wear	O

I	O
need	O
to	O
finding	O
something	O
to	O
wear	O

i	O
ca	O
n't	O
decide	O
what	O
to	O
wear	O

what	O
should	O
I	O
wear	O
today	O
?	O

what	O
to	O
wear	O
?	O

what	O
should	O
I	O
wear	O
?	O

I	O
ca	O
n't	O
figure	O
out	O
what	O
to	O
wear	O
.	O

what	O
can	O
i	O
wear	O
to	O

Need    O
an  O
affordable  PRICE 
suit    KEYWORD
.   O
something   O 
lightweight KEYWORD
for O
a   O
mimosa  OCCASION
brunch  OCCASION
.   O

need	O
a	O
cheap	PRICE
dress	KEYWORD
.	O
something	O
casual	KEYWORD
for	O
a	O
weekend	OCCASION
brunch	OCCASION
.	O
